OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-3086,2021-082BA,2026-04-22T11:30:10.813248,14.98328842,.00035406,70.0000,184.0335,267.1649,92.9105,0,U,49178,999,25369,-.13747227E-4,-.257E-5,0
STARLINK-3043,2021-082BB,2026-04-23T02:36:47.099808,14.98336298,.00030618,70.0005,142.4478,266.6738,93.4071,0,U,49179,999,25361,-.86440832E-4,-.1124E-4,0
STARLINK-3059,2021-082BD,2026-04-23T04:43:37.593696,14.98328212,.00033097,69.9998,182.2382,268.8719,91.2061,0,U,49181,999,25383,.27809562E-4,.239E-5,0
STARLINK-3151,2021-104A,2026-04-23T08:00:01.999872,15.66115003,.00008222,53.2171,14.4925,72.6264,222.1050,0,U,49408,999,585,-.30125772E-3,-.31946E-3,0
STARLINK-3075,2021-104B,2026-04-23T00:59:24.314496,15.08845229,.00019972,53.2209,30.0159,93.8222,266.2999,0,U,49409,999,24533,-.78308284E-4,-.1534E-4,0
STARLINK-3147,2021-104C,2026-04-23T04:00:58.906944,15.08847747,.00013762,53.2199,29.4587,99.2104,260.9044,0,U,49410,999,24534,-.39662801E-3,-.6596E-4,0
STARLINK-3162,2021-104D,2026-04-23T00:39:32.287392,15.08834577,.00014732,53.2182,20.0807,90.2731,269.8430,0,U,49411,999,24546,-.582611E-6,-.297E-5,0
STARLINK-3157,2021-104F,2026-04-23T03:46:24.119904,15.08825534,.00018342,53.2168,19.5081,93.6932,266.4270,0,U,49413,999,24548,-.70744744E-4,-.1413E-4,0
STARLINK-3146,2021-104G,2026-04-23T03:54:14.907456,15.08861798,.00006244,53.2214,29.4680,129.5475,230.5573,0,U,49414,999,24534,.32926169E-3,.4959E-4,0
STARLINK-3159,2021-104H,2026-04-23T03:39:42.769440,15.08833938,.00016536,53.2200,19.5168,98.2997,261.8183,0,U,49415,999,24547,-.50770565E-4,-.1096E-4,0
STARLINK-3133,2021-104J,2026-04-23T03:43:41.096064,15.08841742,.00014644,53.2182,29.5049,92.5881,267.5278,0,U,49416,999,24534,.68737945E-4,.806E-5,0
STARLINK-3154,2021-104K,2026-04-23T04:22:02.652096,15.08838815,.00012491,53.2184,19.0385,83.6803,276.4332,0,U,49417,999,24548,.14687393E-4,-.54E-6,0
STARLINK-3111,2021-104L,2026-04-23T03:38:23.420544,15.08833283,.0001354,53.2183,29.5210,87.8083,272.3064,0,U,49418,999,24533,.15363814E-3,.2158E-4,0
STARLINK-3120,2021-104M,2026-04-23T03:22:29.717472,15.08834177,.00015415,53.2188,29.5720,90.9020,269.2149,0,U,49419,999,24533,.4279762E-5,-.22E-5,0
STARLINK-3110,2021-104N,2026-04-23T03:33:05.816736,15.08826888,.00022073,53.2187,29.5395,92.5594,267.5651,0,U,49420,999,24533,.78445544E-4,.96E-5,0
STARLINK-3112,2021-104P,2026-04-23T01:09:58.525920,15.08835986,.00013108,53.2207,29.7916,93.8403,266.2739,0,U,49421,999,24532,.43861087E-4,.41E-5,0
STARLINK-3161,2021-104Q,2026-04-22T23:25:27.675264,15.08823170,.00020681,53.2187,30.6248,108.2366,251.8852,0,U,49422,999,24530,.18915036E-3,.2722E-4,0
STARLINK-3135,2021-104S,2026-04-23T01:41:48.626880,15.08832869,.00013631,53.2182,29.8869,90.1462,269.9687,0,U,49424,999,24532,-.6126792E-5,-.385E-5,0
STARLINK-3139,2021-104T,2026-04-23T01:21:59.029344,15.08836995,.00016332,53.2181,29.9586,91.6901,268.4278,0,U,49425,999,24533,.6552879E-5,-.184E-5,0
STARLINK-3114,2021-104U,2026-04-23T01:31:12.316800,15.08837096,.00018339,53.2175,29.9177,88.6467,271.4735,0,U,49426,999,24532,.37808927E-4,.314E-5,0
STARLINK-3131,2021-104V,2026-04-23T04:27:27.420192,15.08835780,.00015014,53.2185,29.3789,90.0899,270.0266,0,U,49427,999,24535,.10810113E-4,-.116E-5,0
STARLINK-3121,2021-104W,2026-04-23T03:59:33.985248,15.08835926,.00016523,53.2207,29.3656,98.5312,261.5867,0,U,49428,999,24535,.30383437E-4,.196E-5,0
STARLINK-3138,2021-104Y,2026-04-23T04:59:18.505248,15.08834978,.00016428,53.2188,29.5491,88.6938,271.4242,0,U,49430,999,24535,.24652274E-4,.104E-5,0
STARLINK-3153,2021-104Z,2026-04-23T03:49:01.017984,15.08837945,.00015121,53.2181,29.6704,91.1429,268.9736,0,U,49431,999,24534,.11826091E-3,.1595E-4,0
